Moschettone SX
t1: 56:34:88:66:fc:a2
Moschettone DX
t2: AB:67:88:FC:10:b6
Sternale
t3: AB:67:88:FC:10:b6

PAN;PT1;PT2;AxAN;AyAN;AzAN;AxTM1;AyTM1;AzTM1;AxTR1;AyTR1;AzTR1;AxTM2;AyTM2;AzTM2;AxTR2;AyTR2;AzTR2;GxAN;GyAN;GzAN;GxTM1;GyTM1;GzTM1;GxTR1;GyTR1;GzTR1;GxTM2;GyTM2;GzTM2;GxTR2;GyTR2;GzTR2;TIMESTAMP
98668.609;98735.285;98694.280;290.299;343.003;865.285;657.031;-1719.407;495.869;307.196;1064.511;123.403;-980.026;160.064;-203.435;31.903;-960.811;99.857;54547.500;14262.500;8732.500;-242865.000;286055.000;-26600.000;284812.500;-244842.500;-26565.000;-37030.000;8925.000;-48352.500;12355.000;-39952.500;45815.000;1719306511581;
98668.609;98735.285;98694.280;290.299;343.003;865.285;628.239;-1662.311;513.315;354.898;1014.003;136.762;-948.245;225.639;-172.203;44.042;-928.603;103.639;54547.500;14262.500;8732.500;-251685.000;274330.000;-70210.000;263865.000;-267452.500;62282.500;-35437.500;13002.500;-38727.500;15960.000;-37975.000;36067.500;1719306511590;
98668.721;98733.873;98693.330;250.344;514.291;781.044;546.316;-99.247;574.193;124.562;1436.184;304.329;-951.722;191.052;-173.972;80.215;-939.461;87.840;44310.000;1750.000;-5215.000;-226135.000;190557.500;-335912.500;199220.000;-251667.500;309872.500;-32410.000;14840.000;-34072.500;17447.500;-34720.000;31342.500;1719306511686;
98668.721;98733.873;98693.330;274.439;526.186;782.142;639.402;154.818;641.842;27.023;1432.646;351.177;-913.353;163.053;-118.645;126.941;-908.473;108.824;43400.000;1540.000;-4427.500;-209037.500;171167.500;-326130.000;180390.000;-233012.500;303520.000;-24832.500;20090.000;-27737.500;22190.000;-26600.000;24867.500;1719306511695;
98668.721;98733.873;98693.330;265.716;515.023;798.368;689.483;260.836;680.943;-23.180;1405.074;375.333;-862.662;149.145;-81.740;121.695;-862.113;120.414;42140.000;3692.500;-3867.500;-200760.000;157867.500;-314825.000;166880.000;-223335.000;293842.500;-19180.000;17272.500;-23695.000;18865.000;-20667.500;21245.000;1719306511710;
98668.459;98733.519;98693.330;280.173;540.338;779.763;958.920;779.092;662.399;-325.679;1106.784;390.217;-864.736;115.290;-91.195;118.462;-867.542;111.508;23380.000;8942.500;9152.500;-166407.500;39637.500;-169120.000;39812.500;-175822.500;154647.500;-16625.000;15872.500;-23012.500;17377.500;-18095.000;20860.000;1719306511775;
98668.459;98733.519;98693.005;249.185;534.909;787.327;978.013;870.958;524.356;-393.633;996.557;338.184;-848.205;70.577;-91.439;11.468;-851.987;170.251;20072.500;5967.500;10010.000;-157867.500;-23520.000;-66272.500;-29977.500;-159355.000;53305.000;-9992.500;13457.500;-22872.500;14665.000;-11165.000;21140.000;1719306511806;
98668.459;98733.519;98693.005;276.635;543.022;806.725;941.596;883.402;480.802;-397.598;966.179;318.908;-827.648;47.641;-61.366;-99.064;-831.552;185.562;18952.500;5512.500;10377.500;-151602.500;-62737.500;5425.000;-73587.500;-147455.000;-17290.000;10465.000;5057.500;-16187.500;4935.000;9940.000;15697.500;1719306511820;
98668.459;98732.511;98693.005;284.321;540.704;803.370;828.136;895.602;330.071;-373.808;1010.831;258.396;-824.781;54.351;-56.425;-116.083;-826.001;171.715;15470.000;5845.000;8942.500;-137812.500;-118265.000;109252.500;-134435.000;-124932.500;-119070.000;17832.500;1750.000;-12320.000;1155.000;17482.500;12337.500;1719306511836;
98668.219;98732.511;98693.005;284.260;535.824;797.087;722.118;869.128;181.841;-351.848;1044.686;234.240;-837.469;88.084;-43.676;-100.589;-840.763;117.486;16415.000;3850.000;8085.000;-123077.500;-147717.500;175070.000;-151462.500;-115307.500;-151672.500;30607.500;-3937.500;-2590.000;-5442.500;30485.000;3377.500;1719306511844;
98668.219;98732.511;98692.501;286.944;534.543;798.429;657.153;841.556;101.809;-290.665;1111.725;176.168;-899.567;50.874;-72.651;-74.603;-874.130;87.718;17097.500;1452.500;7315.000;-113627.500;-158550.000;206185.000;-177222.500;-92120.000;-213255.000;37502.500;-6912.500;6212.500;-7700.000;35105.000;-1120.000;1719306511860;
98668.434;98732.511;98692.066;316.956;528.077;813.923;527.528;742.614;-62.342;-247.477;1138.626;144.570;-1004.670;-41.236;-65.636;-4.697;-1003.999;21.960;12232.500;19775.000;3307.500;-91122.500;-171990.000;261380.000;-185430.000;-78837.500;-240730.000;1172.500;3342.500;23292.500;1715.000;262.500;-23730.000;1719306511934;
98668.434;98731.565;98692.066;313.479;548.878;819.169;217.526;301.218;-476.471;-21.533;1202.981;-49.044;-999.912;-47.458;-61.976;6.771;-1006.317;28.426;11462.500;24010.000;4760.000;-16835.000;-129412.500;369792.500;-155050.000;3797.500;-356842.500;-8295.000;3727.500;21035.000;2135.000;-4795.000;-22925.000;1719306511956;
98668.434;98731.565;98692.066;302.255;530.944;800.259;187.453;210.511;-530.334;33.733;1171.200;-110.593;-996.069;-42.395;-57.096;1.037;-1001.864;48.312;11917.500;22295.000;5250.000;-455.000;-91822.500;384387.500;-118615.000;22085.000;-375217.500;-12022.500;3465.000;19792.500;2205.000;-12827.500;-20650.000;1719306511971;
98668.434;98731.565;98692.066;302.255;530.944;800.259;136.945;9.394;-642.818;58.072;1142.103;-143.533;-997.960;-66.124;-77.043;-0.976;-1005.890;59.475;11917.500;22295.000;5250.000;4567.500;-68915.000;387257.500;-95987.500;27755.000;-380222.500;-17675.000;2222.500;17185.000;1732.500;-15907.500;-19512.500;1719306511980;
98668.434;98731.066;98692.066;282.857;552.721;791.658;91.927;-360.327;-733.586;110.776;998.692;-233.081;-986.004;-50.386;-71.126;-17.995;-991.250;154.208;13020.000;20825.000;6370.000;3185.000;12092.500;373852.500;-13492.500;26302.500;-374710.000;-19215.000;1540.000;15767.500;367.500;-19337.500;-16695.000;1719306512005;
